Sintoma1,Sintoma2,Doenca_Associada
dor no peito ao esforço,desmaio,Estenose Aórtica
falta de ar progressiva,sopro sistólico,Estenose Aórtica
tonturas ao esforço,cansaço,Estenose Aórtica
síncope,sopro em ejeção,Estenose Aórtica
palpitações,falta de ar,Insuficiência Aórtica
dispneia ao esforço,sensação de coração pulsando,Insuficiência Aórtica
pressão de pulso alargada,cansaço,Insuficiência Aórtica
cabeça pulsando,falta de ar,Insuficiência Aórtica
palpitações,dor no peito atípica,Prolapso da Válvula Mitral
ansiedade,palpitações,Prolapso da Válvula Mitral
tontura,batimento extra,Prolapso da Válvula Mitral
fadiga,palpitações ao esforço,Prolapso da Válvula Mitral
sopro no coração,cansaço,Insuficiência Mitral
falta de ar ao deitar,palpitações,Insuficiência Mitral
edema pulmonar,dispneia,Insuficiência Mitral
fadiga progressiva,sopro holossistólico,Insuficiência Mitral
coração irregular,fraqueza,Fibrilação Atrial
batimentos desorganizados,falta de ar,Fibrilação Atrial
palpitações irregulares,tontura,Fibrilação Atrial
cansaço,batimento cardíaco caótico,Fibrilação Atrial
falta de ar,palpitações persistentes,Fibrilação Atrial
sensação de coração fora de ritmo,pré-síncope,Fibrilação Atrial
coração acelerado e irregular,fraqueza,Fibrilação Atrial
palpitações em repouso,intolerância ao esforço,Fibrilação Atrial
bradicardia,síncope,Bloqueio Cardíaco
coração lento,tontura ao levantar,Bloqueio Cardíaco
batimento cardíaco lento,cansaço,Bloqueio Cardíaco
síncope recorrente,coração lento,Bloqueio Cardíaco
pré-síncope,fraqueza,Bloqueio Cardíaco
síncope desencadeada por susto,palpitações,Síndrome do QT Longo
desmaio ao nadar,coração irregular,Síndrome do QT Longo
morte súbita em jovem,histórico familiar,Síndrome do QT Longo
palpitações,síncope ao esforço,Síndrome do QT Longo
inchaço nas pernas,falta de ar crônica,Cor Pulmonale
cianose,distensão venosa jugular,Cor Pulmonale
edema bilateral,dispneia grave,Cor Pulmonale
fraqueza,congestão venosa,Cor Pulmonale
dor no peito após infecção viral,cansaço,Miocardite
palpitações após resfriado,febre baixa,Miocardite
fadiga intensa após gripe,falta de ar,Miocardite
dor no peito,elevação de troponina,Miocardite
arritmia nova,febre,Miocardite
colesterol alto,dor ao caminhar,Aterosclerose
rigidez arterial,pressão alta,Aterosclerose
placas nas artérias,angina,Aterosclerose
dor nas pernas,colesterol elevado,Aterosclerose
desmaio ao ver sangue,náusea prévia,Síncope Vasovagal
perda de consciência após estresse,palidez,Síncope Vasovagal
desmaio em ambiente quente,tontura prévia,Síncope Vasovagal
síncope após longa permanência em pé,sudorese,Síncope Vasovagal
desmaio precedido de visão escura,fraqueza,Síncope Vasovagal
dor lancinante nas costas,pressão assimétrica,Dissecção Aórtica
dor em rasgão no peito,irradiação para as costas,Dissecção Aórtica
dor torácica intensa e súbita,pressão arterial diferente nos braços,Dissecção Aórtica
dor intensa nas costas,palidez e sudorese,Dissecção Aórtica
pulsação abdominal,dor lombar,Aneurisma Aórtico
dor abdominal em pulsação,massa pulsátil,Aneurisma Aórtico
dor nas costas crônica,descoberta em exame,Aneurisma Aórtico
febre,inflamação nos vasos,Vasculite
dor articular,manchas vermelhas,Vasculite
insuficiência renal,hipertensão,Vasculite
neuropatia periférica,inflamação sistêmica,Vasculite
obesidade abdominal,pressão alta,Síndrome Metabólica
glicemia elevada,colesterol alto,Síndrome Metabólica
triglicérides alto,circunferência abdominal aumentada,Síndrome Metabólica
resistência à insulina,pressão elevada,Síndrome Metabólica
coração acelerado subitamente,retorno ao normal abrupto,Taquicardia Supraventricular
palpitações de início e fim bruscos,tontura,Taquicardia Supraventricular
batimento rápido regular,falta de ar,Taquicardia Supraventricular
taquicardia paroxística,pré-síncope,Taquicardia Supraventricular
coração acelerado e irregular,perda de consciência,Taquicardia Ventricular
síncope,taquicardia,Taquicardia Ventricular
palpitações graves,hipotensão,Taquicardia Ventricular
batimento rápido grave,suor frio,Taquicardia Ventricular
ausência de pulso,perda de consciência,Parada Cardiorrespiratória
sem respiração,sem resposta a estímulos,Parada Cardiorrespiratória
colapso súbito,cianose,Parada Cardiorrespiratória
pressão muito baixa,pele fria e úmida,Choque Cardiogênico
confusão mental,pressão arterial colapsada,Choque Cardiogênico
pulso fraco e rápido,baixo débito cardíaco,Choque Cardiogênico
falta de ar progressiva,fadiga ao esforço,Hipertensão Pulmonar
síncope ao esforço,pressão elevada na artéria pulmonar,Hipertensão Pulmonar
inchaço nas pernas,cianose labial,Hipertensão Pulmonar
dor no peito ao esforço,tosse seca,Hipertensão Pulmonar
falta de ar ao esforço,tosse com sangue,Estenose Mitral
hemoptise,palpitações,Estenose Mitral
dispneia progressiva,sopro diastólico,Estenose Mitral
edema pulmonar,fibrilação atrial,Estenose Mitral
cianose desde o nascimento,sopro cardíaco,Cardiopatia Congênita
cansaço ao mamar,dificuldade de ganho de peso,Cardiopatia Congênita
infecções respiratórias frequentes,sopro,Cardiopatia Congênita
baqueteamento digital,cianose,Cardiopatia Congênita
dor no peito em repouso,sem alívio com nitrato,Angina Instável
dor no peito nova ou em piora,dura mais de 20 minutos,Angina Instável
dor em repouso ou noturna,intensidade crescente,Angina Instável
angina crescente,sem elevação de troponina,Angina Instável
inchaço ao redor do olho,febre,Doença de Chagas - Fase Aguda
cardiomegalia,arritmia,Doença de Chagas - Fase Crônica
insuficiência cardíaca em jovem,histórico de zona rural,Doença de Chagas - Fase Crônica
mega-esôfago,bloqueio de ramo,Doença de Chagas - Fase Crônica
tontura ao levantar,visão turva,Hipotensão Ortostática
desmaio ao se levantar,fraqueza,Hipotensão Ortostática
pressão baixa em pé,palpitações,Hipotensão Ortostática
dor no peito intensa,elevação do ST,Síndrome Coronariana Aguda
troponina elevada,dor em repouso,Síndrome Coronariana Aguda
dor precordial persistente,alteração no ECG,Síndrome Coronariana Aguda
